pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,experiment_type,schedule_id,initial_patch_layer,restore_layer,clamp_end_layer,schedule_entries,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-32.906497955322266,-40.61582565307617,-32.872337341308594,-40.52363204956055,7.709327697753906,7.651294708251953,-32.83680725097656,-40.787574768066406,-32.94038772583008,-40.41145324707031,7.950767517089844,7.471065521240234,-0.2414398193359375,-0.18022918701171875,-0.21083450317382812,False,False,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-32.807010650634766,-40.480464935302734,-32.87761688232422,-40.29866027832031,7.673454284667969,7.421043395996094,-32.90439987182617,-40.50031280517578,-32.77984619140625,-40.269737243652344,7.595912933349609,7.489891052246094,0.07754135131835938,0.06884765625,0.07319450378417969,True,True,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-33.14122772216797,-41.046043395996094,-33.19336700439453,-41.567901611328125,7.904815673828125,8.374534606933594,-33.19148254394531,-41.049407958984375,-33.14224624633789,-41.55724334716797,7.8579254150390625,8.414997100830078,0.0468902587890625,0.040462493896484375,0.04367637634277344,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-33.26335525512695,-41.05799865722656,-33.390846252441406,-41.1466178894043,7.794643402099609,7.755771636962891,-33.32449722290039,-41.235931396484375,-33.32786560058594,-41.01323699951172,7.911434173583984,7.685371398925781,-0.116790771484375,-0.07040023803710938,-0.09359550476074219,False,False,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-32.723960876464844,-40.329345703125,-33.00586700439453,-40.413299560546875,7.605384826660156,7.407432556152344,-32.7437858581543,-40.18647003173828,-32.969058990478516,-40.59838104248047,7.442684173583984,7.629322052001953,0.16270065307617188,0.22188949584960938,0.19229507446289062,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-32.88285827636719,-40.35342788696289,-32.840545654296875,-40.420074462890625,7.470569610595703,7.57952880859375,-32.93166732788086,-40.11887741088867,-32.77899932861328,-40.66345977783203,7.1872100830078125,7.88446044921875,0.2833595275878906,0.304931640625,0.2941455841064453,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-33.32653045654297,-40.607730865478516,-33.2708740234375,-40.77283477783203,7.281200408935547,7.501960754394531,-33.31376266479492,-40.36869430541992,-33.281803131103516,-40.986820220947266,7.054931640625,7.70501708984375,0.22626876831054688,0.20305633544921875,0.2146625518798828,True,True,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-33.26520919799805,-40.81932067871094,-33.316802978515625,-41.32069396972656,7.554111480712891,8.003890991210938,-33.287628173828125,-40.578975677490234,-33.29484939575195,-41.52130889892578,7.291347503662109,8.226459503173828,0.26276397705078125,0.22256851196289062,0.24266624450683594,True,True,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-33.23826217651367,-40.160545349121094,-32.871337890625,-40.523345947265625,6.922283172607422,7.652008056640625,-33.211551666259766,-40.185951232910156,-32.87548065185547,-40.491676330566406,6.974399566650391,7.6161956787109375,-0.05211639404296875,-0.0358123779296875,-0.043964385986328125,False,False,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-32.83757019042969,-40.17271041870117,-32.902679443359375,-40.617942810058594,7.335140228271484,7.715263366699219,-32.76813888549805,-40.27330780029297,-32.971805572509766,-40.51580810546875,7.505168914794922,7.544002532958984,-0.1700286865234375,-0.17126083374023438,-0.17064476013183594,False,False,
