control,seed,target_sample_id,target_emotion,target_actor,target_statement,target_repetition,target_intensity,donor_sample_id,donor_emotion,donor_actor,donor_statement,donor_repetition,donor_intensity,donor_same_emotion,donor_same_actor,donor_same_content,donor_is_matched_counterpart
matched_swap,1234,pair_0000_happy,happy,01,01,01,01,pair_0000_sad,sad,01,01,01,01,False,True,True,True
matched_swap,1234,pair_0000_sad,sad,01,01,01,01,pair_0000_happy,happy,01,01,01,01,False,True,True,True
matched_swap,1234,pair_0001_happy,happy,01,01,02,01,pair_0001_sad,sad,01,01,02,01,False,True,True,True
matched_swap,1234,pair_0001_sad,sad,01,01,02,01,pair_0001_happy,happy,01,01,02,01,False,True,True,True
matched_swap,1234,pair_0002_happy,happy,01,02,01,01,pair_0002_sad,sad,01,02,01,01,False,True,True,True
matched_swap,1234,pair_0002_sad,sad,01,02,01,01,pair_0002_happy,happy,01,02,01,01,False,True,True,True
matched_swap,1234,pair_0003_happy,happy,01,02,02,01,pair_0003_sad,sad,01,02,02,01,False,True,True,True
matched_swap,1234,pair_0003_sad,sad,01,02,02,01,pair_0003_happy,happy,01,02,02,01,False,True,True,True
matched_swap,1234,pair_0004_happy,happy,02,01,01,01,pair_0004_sad,sad,02,01,01,01,False,True,True,True
matched_swap,1234,pair_0004_sad,sad,02,01,01,01,pair_0004_happy,happy,02,01,01,01,False,True,True,True
matched_swap,1234,pair_0005_happy,happy,02,01,02,01,pair_0005_sad,sad,02,01,02,01,False,True,True,True
matched_swap,1234,pair_0005_sad,sad,02,01,02,01,pair_0005_happy,happy,02,01,02,01,False,True,True,True
matched_swap,1234,pair_0006_happy,happy,02,02,01,01,pair_0006_sad,sad,02,02,01,01,False,True,True,True
matched_swap,1234,pair_0006_sad,sad,02,02,01,01,pair_0006_happy,happy,02,02,01,01,False,True,True,True
matched_swap,1234,pair_0007_happy,happy,02,02,02,01,pair_0007_sad,sad,02,02,02,01,False,True,True,True
matched_swap,1234,pair_0007_sad,sad,02,02,02,01,pair_0007_happy,happy,02,02,02,01,False,True,True,True
matched_swap,1234,pair_0008_happy,happy,03,01,01,01,pair_0008_sad,sad,03,01,01,01,False,True,True,True
matched_swap,1234,pair_0008_sad,sad,03,01,01,01,pair_0008_happy,happy,03,01,01,01,False,True,True,True
matched_swap,1234,pair_0009_happy,happy,03,01,02,01,pair_0009_sad,sad,03,01,02,01,False,True,True,True
matched_swap,1234,pair_0009_sad,sad,03,01,02,01,pair_0009_happy,happy,03,01,02,01,False,True,True,True
matched_swap,1234,pair_0010_happy,happy,03,02,01,01,pair_0010_sad,sad,03,02,01,01,False,True,True,True
matched_swap,1234,pair_0010_sad,sad,03,02,01,01,pair_0010_happy,happy,03,02,01,01,False,True,True,True
matched_swap,1234,pair_0011_happy,happy,03,02,02,01,pair_0011_sad,sad,03,02,02,01,False,True,True,True
matched_swap,1234,pair_0011_sad,sad,03,02,02,01,pair_0011_happy,happy,03,02,02,01,False,True,True,True
matched_swap,1234,pair_0012_happy,happy,04,01,01,01,pair_0012_sad,sad,04,01,01,01,False,True,True,True
matched_swap,1234,pair_0012_sad,sad,04,01,01,01,pair_0012_happy,happy,04,01,01,01,False,True,True,True
matched_swap,1234,pair_0013_happy,happy,04,01,02,01,pair_0013_sad,sad,04,01,02,01,False,True,True,True
matched_swap,1234,pair_0013_sad,sad,04,01,02,01,pair_0013_happy,happy,04,01,02,01,False,True,True,True
matched_swap,1234,pair_0014_happy,happy,04,02,01,01,pair_0014_sad,sad,04,02,01,01,False,True,True,True
matched_swap,1234,pair_0014_sad,sad,04,02,01,01,pair_0014_happy,happy,04,02,01,01,False,True,True,True
matched_swap,1234,pair_0015_happy,happy,04,02,02,01,pair_0015_sad,sad,04,02,02,01,False,True,True,True
matched_swap,1234,pair_0015_sad,sad,04,02,02,01,pair_0015_happy,happy,04,02,02,01,False,True,True,True
matched_swap,1234,pair_0016_happy,happy,05,01,01,01,pair_0016_sad,sad,05,01,01,01,False,True,True,True
matched_swap,1234,pair_0016_sad,sad,05,01,01,01,pair_0016_happy,happy,05,01,01,01,False,True,True,True
matched_swap,1234,pair_0017_happy,happy,05,01,02,01,pair_0017_sad,sad,05,01,02,01,False,True,True,True
matched_swap,1234,pair_0017_sad,sad,05,01,02,01,pair_0017_happy,happy,05,01,02,01,False,True,True,True
matched_swap,1234,pair_0018_happy,happy,05,02,01,01,pair_0018_sad,sad,05,02,01,01,False,True,True,True
matched_swap,1234,pair_0018_sad,sad,05,02,01,01,pair_0018_happy,happy,05,02,01,01,False,True,True,True
matched_swap,1234,pair_0019_happy,happy,05,02,02,01,pair_0019_sad,sad,05,02,02,01,False,True,True,True
matched_swap,1234,pair_0019_sad,sad,05,02,02,01,pair_0019_happy,happy,05,02,02,01,False,True,True,True
matched_swap,1234,pair_0020_happy,happy,06,01,01,01,pair_0020_sad,sad,06,01,01,01,False,True,True,True
matched_swap,1234,pair_0020_sad,sad,06,01,01,01,pair_0020_happy,happy,06,01,01,01,False,True,True,True
matched_swap,1234,pair_0021_happy,happy,06,01,02,01,pair_0021_sad,sad,06,01,02,01,False,True,True,True
matched_swap,1234,pair_0021_sad,sad,06,01,02,01,pair_0021_happy,happy,06,01,02,01,False,True,True,True
matched_swap,1234,pair_0022_happy,happy,06,02,01,01,pair_0022_sad,sad,06,02,01,01,False,True,True,True
matched_swap,1234,pair_0022_sad,sad,06,02,01,01,pair_0022_happy,happy,06,02,01,01,False,True,True,True
matched_swap,1234,pair_0023_happy,happy,06,02,02,01,pair_0023_sad,sad,06,02,02,01,False,True,True,True
matched_swap,1234,pair_0023_sad,sad,06,02,02,01,pair_0023_happy,happy,06,02,02,01,False,True,True,True
matched_swap,1234,pair_0024_happy,happy,07,01,01,01,pair_0024_sad,sad,07,01,01,01,False,True,True,True
matched_swap,1234,pair_0024_sad,sad,07,01,01,01,pair_0024_happy,happy,07,01,01,01,False,True,True,True
matched_swap,1234,pair_0025_happy,happy,07,01,02,01,pair_0025_sad,sad,07,01,02,01,False,True,True,True
matched_swap,1234,pair_0025_sad,sad,07,01,02,01,pair_0025_happy,happy,07,01,02,01,False,True,True,True
matched_swap,1234,pair_0026_happy,happy,07,02,01,01,pair_0026_sad,sad,07,02,01,01,False,True,True,True
matched_swap,1234,pair_0026_sad,sad,07,02,01,01,pair_0026_happy,happy,07,02,01,01,False,True,True,True
matched_swap,1234,pair_0027_happy,happy,07,02,02,01,pair_0027_sad,sad,07,02,02,01,False,True,True,True
matched_swap,1234,pair_0027_sad,sad,07,02,02,01,pair_0027_happy,happy,07,02,02,01,False,True,True,True
matched_swap,1234,pair_0028_happy,happy,08,01,01,01,pair_0028_sad,sad,08,01,01,01,False,True,True,True
matched_swap,1234,pair_0028_sad,sad,08,01,01,01,pair_0028_happy,happy,08,01,01,01,False,True,True,True
matched_swap,1234,pair_0029_happy,happy,08,01,02,01,pair_0029_sad,sad,08,01,02,01,False,True,True,True
matched_swap,1234,pair_0029_sad,sad,08,01,02,01,pair_0029_happy,happy,08,01,02,01,False,True,True,True
matched_swap,1234,pair_0030_happy,happy,08,02,01,01,pair_0030_sad,sad,08,02,01,01,False,True,True,True
matched_swap,1234,pair_0030_sad,sad,08,02,01,01,pair_0030_happy,happy,08,02,01,01,False,True,True,True
