pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,token_position,layer_index,layer,patch_site,patch_kind,baseline_happy_happy_token_logprob,baseline_happy_sad_token_logprob,baseline_sad_happy_token_logprob,baseline_sad_sad_token_logprob,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_token_logprob,patched_happy_target_sad_token_logprob,patched_sad_target_happy_token_logprob,patched_sad_target_sad_token_logprob,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,audio_tokens,-19.23788070678711,-30.148117065429688,-19.178709030151367,-29.801849365234375,10.910236358642578,10.623140335083008,-19.18428,-30.108854,-19.23164,-29.872099,10.924574,10.640459,-0.014337539672851562,0.0173187255859375,0.0014905929565429688,False,True,
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,audio_tokens,-13.668618202209473,-10.467707633972168,-13.693629264831543,-10.721782684326172,-3.2009105682373047,-2.971846580505371,-13.652525,-10.67872,-13.708748,-10.539353,-2.9738045,-3.1693945,-0.22710609436035156,-0.19754791259765625,-0.2123270034790039,False,False,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,audio_tokens,-19.07402229309082,-30.0374813079834,-19.177860260009766,-29.757797241210938,10.963459014892578,10.579936981201172,-19.128403,-29.889725,-19.126293,-29.90424,10.761322,10.777946,0.20213699340820312,0.19800949096679688,0.2000732421875,True,True,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,audio_tokens,-13.732987403869629,-10.442984580993652,-13.699758529663086,-10.540861129760742,-3.2900028228759766,-3.1588973999023438,-13.775996,-10.610586,-13.653552,-10.365496,-3.16541,-3.2880564,-0.12459278106689453,-0.12915897369384766,-0.1268758773803711,False,False,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,audio_tokens,-19.472591400146484,-31.136863708496094,-19.53383445739746,-31.518583297729492,11.66427230834961,11.984748840332031,-19.527729,-31.239023,-19.477398,-31.413448,11.711294,11.93605,-0.04702186584472656,-0.04869842529296875,-0.047860145568847656,False,False,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,audio_tokens,-13.668636322021484,-9.909178733825684,-13.659531593322754,-10.049318313598633,-3.759457588195801,-3.610213279724121,-13.6637535,-9.810387,-13.664848,-10.143793,-3.8533669,-3.5210552,0.09390926361083984,0.0891580581665039,0.09153366088867188,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,audio_tokens,-19.66347885131836,-31.04317855834961,-19.652544021606445,-30.97833824157715,11.37969970703125,11.325794219970703,-19.73752,-31.160072,-19.575455,-30.912283,11.422552,11.336828,-0.04285240173339844,0.011034011840820312,-0.015909194946289062,False,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,audio_tokens,-13.599876403808594,-10.014822006225586,-13.738302230834961,-10.168279647827148,-3.585054397583008,-3.5700225830078125,-13.586976,-10.075861,-13.75241,-10.100952,-3.511115,-3.6514578,-0.07393932342529297,-0.0814352035522461,-0.07768726348876953,False,False,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,audio_tokens,-19.12734031677246,-30.11060905456543,-19.325483322143555,-29.790307998657227,10.983268737792969,10.464824676513672,-19.147116,-29.886791,-19.28786,-30.061344,10.7396755,10.773483,0.2435932159423828,0.3086585998535156,0.2761259078979492,True,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,audio_tokens,-13.596622467041016,-10.218738555908203,-13.680381774902344,-10.622989654541016,-3.3778839111328125,-3.057392120361328,-13.596671,-10.299677,-13.681197,-10.537037,-3.2969942,-3.1441603,-0.08088970184326172,-0.08676815032958984,-0.08382892608642578,False,False,
