pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,experiment_type,schedule_id,initial_patch_layer,restore_layer,clamp_end_layer,schedule_entries,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.784337997436523,-14.192665100097656,-18.59215545654297,-14.119668960571289,-4.591672897338867,-4.47248649597168,-18.63920021057129,-14.2354736328125,-18.73731803894043,-14.059328079223633,-4.403726577758789,-4.677989959716797,-0.18794631958007812,-0.2055034637451172,-0.19672489166259766,False,False,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.62534523010254,-13.82693862915039,-18.685665130615234,-13.871679306030273,-4.798406600952148,-4.813985824584961,-18.622276306152344,-13.87312126159668,-18.69584846496582,-13.831340789794922,-4.749155044555664,-4.864507675170898,-0.049251556396484375,-0.0505218505859375,-0.04988670349121094,False,False,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.101184844970703,-14.566595077514648,-18.250112533569336,-14.308186531066895,-3.5345897674560547,-3.9419260025024414,-18.10199546813965,-14.320047378540039,-18.24286651611328,-14.551203727722168,-3.7819480895996094,-3.6916627883911133,0.2473583221435547,0.2502632141113281,0.2488107681274414,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.006914138793945,-14.501709938049316,-18.291980743408203,-14.688089370727539,-3.505204200744629,-3.603891372680664,-18.174957275390625,-14.768956184387207,-18.116708755493164,-14.442483901977539,-3.406001091003418,-3.674224853515625,-0.09920310974121094,-0.07033348083496094,-0.08476829528808594,False,False,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.301326751708984,-14.038238525390625,-18.725671768188477,-13.857430458068848,-4.263088226318359,-4.868241310119629,-18.697755813598633,-14.01574420928955,-18.319496154785156,-13.880895614624023,-4.682011604309082,-4.438600540161133,0.41892337799072266,0.4296407699584961,0.4242820739746094,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.589427947998047,-14.114439964294434,-18.74413299560547,-14.046891212463379,-4.474987983703613,-4.69724178314209,-18.730831146240234,-14.208518981933594,-18.601972579956055,-13.960369110107422,-4.522312164306641,-4.641603469848633,0.047324180603027344,0.05563831329345703,0.05148124694824219,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-17.821413040161133,-14.312002182006836,-17.82419204711914,-14.049148559570312,-3.509410858154297,-3.775043487548828,-17.776485443115234,-13.982565879821777,-17.868375778198242,-14.376914978027344,-3.793919563293457,-3.4914608001708984,0.28450870513916016,0.2835826873779297,0.2840456962585449,True,True,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-17.819889068603516,-14.41187572479248,-17.866769790649414,-14.385616302490234,-3.408013343811035,-3.4811534881591797,-17.8684139251709,-14.31906795501709,-17.8178768157959,-14.47708797454834,-3.5493459701538086,-3.3407888412475586,0.14133262634277344,0.1403646469116211,0.14084863662719727,True,True,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.818166732788086,-14.119091033935547,-18.65387725830078,-14.069162368774414,-4.699075698852539,-4.584714889526367,-18.661787033081055,-14.003747940063477,-18.813940048217773,-14.18390941619873,-4.658039093017578,-4.630030632019043,-0.04103660583496094,-0.04531574249267578,-0.04317617416381836,False,False,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.729928970336914,-14.011101722717285,-18.5625,-14.185173034667969,-4.718827247619629,-4.377326965332031,-18.595224380493164,-14.211666107177734,-18.69253921508789,-13.982244491577148,-4.38355827331543,-4.710294723510742,-0.3352689743041992,-0.33296775817871094,-0.3341183662414551,False,False,
pair_0010,03,02,01,01,pair_0010_happy,pair_0010_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.31175994873047,-14.61680793762207,-17.840412139892578,-14.470471382141113,-3.6949520111083984,-3.369940757751465,-17.86322593688965,-14.471084594726562,-18.2882022857666,-14.611299514770508,-3.392141342163086,-3.6769027709960938,-0.3028106689453125,-0.3069620132446289,-0.3048863410949707,False,False,
pair_0011,03,02,02,01,pair_0011_happy,pair_0011_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.231765747070312,-14.706853866577148,-17.838123321533203,-14.506670951843262,-3.524911880493164,-3.3314523696899414,-17.93988037109375,-14.583392143249512,-18.129207611083984,-14.625943183898926,-3.3564882278442383,-3.5032644271850586,-0.16842365264892578,-0.1718120574951172,-0.17011785507202148,False,False,
pair_0012,04,01,01,01,pair_0012_happy,pair_0012_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.358745574951172,-13.756012916564941,-18.717449188232422,-13.85068130493164,-4.6027326583862305,-4.866767883300781,-18.610557556152344,-13.934640884399414,-18.459362030029297,-13.662096977233887,-4.67591667175293,-4.79726505279541,0.07318401336669922,0.0695028305053711,0.07134342193603516,True,True,
pair_0013,04,01,02,01,pair_0013_happy,pair_0013_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-18.70948600769043,-14.139888763427734,-18.57384490966797,-13.96951675415039,-4.569597244262695,-4.604328155517578,-18.614898681640625,-13.991761207580566,-18.671213150024414,-14.118287086486816,-4.623137474060059,-4.552926063537598,0.05354022979736328,0.05140209197998047,0.052471160888671875,True,True,
pair_0014,04,02,01,01,pair_0014_happy,pair_0014_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-17.875215530395508,-14.271656036376953,-17.993194580078125,-14.42282485961914,-3.6035594940185547,-3.5703697204589844,-17.984146118164062,-14.42458724975586,-17.887208938598633,-14.267891883850098,-3.559558868408203,-3.619317054748535,-0.04400062561035156,-0.04894733428955078,-0.04647397994995117,False,False,
pair_0015,04,02,02,01,pair_0015_happy,pair_0015_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],decision_clamp,decision_clamp_to_20,17,,20,"[{""layer"":17,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":18,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":19,""patch_kind"":""decision_token"",""source"":""donor""},{""layer"":20,""patch_kind"":""decision_token"",""source"":""donor""}]",post_decoder_block_output,decision_token,-17.90298080444336,-14.51931095123291,-18.07615089416504,-14.267594337463379,-3.383669853210449,-3.80855655670166,-17.941720962524414,-14.177170753479004,-18.031532287597656,-14.603194236755371,-3.76455020904541,-3.428338050842285,0.38088035583496094,0.380218505859375,0.38054943084716797,True,True,
