pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,layer_index,head_index,layer,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.784337997436523,-14.192665100097656,-18.59215545654297,-14.119668960571289,-4.591672897338867,-4.47248649597168,-18.779043197631836,-14.19980239868164,-18.597211837768555,-14.11418342590332,-4.579240798950195,-4.483028411865234,-0.012432098388671875,-0.010541915893554688,-0.011487007141113281,False,False,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.62534523010254,-13.82693862915039,-18.685665130615234,-13.871679306030273,-4.798406600952148,-4.813985824584961,-18.62883758544922,-13.837872505187988,-18.68076515197754,-13.860821723937988,-4.7909650802612305,-4.819943428039551,-0.007441520690917969,-0.005957603454589844,-0.006699562072753906,False,False,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.101184844970703,-14.566595077514648,-18.250112533569336,-14.308186531066895,-3.5345897674560547,-3.9419260025024414,-18.090591430664062,-14.55349349975586,-18.261472702026367,-14.321839332580566,-3.537097930908203,-3.939633369445801,0.0025081634521484375,0.002292633056640625,0.0024003982543945312,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.006914138793945,-14.501709938049316,-18.291980743408203,-14.688089370727539,-3.505204200744629,-3.603891372680664,-18.016307830810547,-14.486230850219727,-18.277307510375977,-14.701719284057617,-3.5300769805908203,-3.5755882263183594,0.024872779846191406,0.028303146362304688,0.026587963104248047,True,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.301326751708984,-14.038238525390625,-18.725671768188477,-13.857430458068848,-4.263088226318359,-4.868241310119629,-18.29239845275879,-14.050188064575195,-18.732221603393555,-13.84406852722168,-4.242210388183594,-4.888153076171875,-0.020877838134765625,-0.019911766052246094,-0.02039480209350586,False,False,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.589427947998047,-14.114439964294434,-18.74413299560547,-14.046891212463379,-4.474987983703613,-4.69724178314209,-18.59857749938965,-14.128358840942383,-18.734180450439453,-14.030927658081055,-4.470218658447266,-4.703252792358398,-0.004769325256347656,-0.006011009216308594,-0.005390167236328125,False,False,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-17.821413040161133,-14.312002182006836,-17.82419204711914,-14.049148559570312,-3.509410858154297,-3.775043487548828,-17.803903579711914,-14.323912620544434,-17.84295082092285,-14.036648750305176,-3.4799909591674805,-3.806302070617676,-0.029419898986816406,-0.031258583068847656,-0.03033924102783203,False,False,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-17.819889068603516,-14.41187572479248,-17.866769790649414,-14.385616302490234,-3.408013343811035,-3.4811534881591797,-17.8089599609375,-14.4208345413208,-17.8770694732666,-14.376506805419922,-3.388125419616699,-3.5005626678466797,-0.019887924194335938,-0.0194091796875,-0.01964855194091797,False,False,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.818166732788086,-14.119091033935547,-18.65387725830078,-14.069162368774414,-4.699075698852539,-4.584714889526367,-18.834163665771484,-14.106305122375488,-18.635677337646484,-14.079190254211426,-4.727858543395996,-4.556487083435059,0.02878284454345703,0.028227806091308594,0.028505325317382812,True,True,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.729928970336914,-14.011101722717285,-18.5625,-14.185173034667969,-4.718827247619629,-4.377326965332031,-18.75815773010254,-14.014719009399414,-18.535982131958008,-14.182774543762207,-4.743438720703125,-4.353207588195801,0.024611473083496094,0.02411937713623047,0.02436542510986328,True,True,
pair_0010,03,02,01,01,pair_0010_happy,pair_0010_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.31175994873047,-14.61680793762207,-17.840412139892578,-14.470471382141113,-3.6949520111083984,-3.369940757751465,-18.304641723632812,-14.627074241638184,-17.847490310668945,-14.460037231445312,-3.677567481994629,-3.387453079223633,-0.01738452911376953,-0.01751232147216797,-0.01744842529296875,False,False,
pair_0011,03,02,02,01,pair_0011_happy,pair_0011_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.231765747070312,-14.706853866577148,-17.838123321533203,-14.506670951843262,-3.524911880493164,-3.3314523696899414,-18.242229461669922,-14.734381675720215,-17.826231002807617,-14.478671073913574,-3.507847785949707,-3.347559928894043,-0.01706409454345703,-0.016107559204101562,-0.016585826873779297,False,False,
pair_0012,04,01,01,01,pair_0012_happy,pair_0012_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.358745574951172,-13.756012916564941,-18.717449188232422,-13.85068130493164,-4.6027326583862305,-4.866767883300781,-18.3724308013916,-13.761675834655762,-18.702714920043945,-13.842619895935059,-4.61075496673584,-4.860095024108887,0.008022308349609375,0.006672859191894531,0.007347583770751953,True,True,
pair_0013,04,01,02,01,pair_0013_happy,pair_0013_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.70948600769043,-14.139888763427734,-18.57384490966797,-13.96951675415039,-4.569597244262695,-4.604328155517578,-18.72484588623047,-14.14268684387207,-18.55682945251465,-13.965886116027832,-4.582159042358398,-4.590943336486816,0.012561798095703125,0.013384819030761719,0.012973308563232422,True,True,
pair_0014,04,02,01,01,pair_0014_happy,pair_0014_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-17.875215530395508,-14.271656036376953,-17.993194580078125,-14.42282485961914,-3.6035594940185547,-3.5703697204589844,-17.904787063598633,-14.274863243103027,-17.964204788208008,-14.423508644104004,-3.6299238204956055,-3.540696144104004,0.02636432647705078,0.02967357635498047,0.028018951416015625,True,True,
pair_0015,04,02,02,01,pair_0015_happy,pair_0015_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-17.90298080444336,-14.51931095123291,-18.07615089416504,-14.267594337463379,-3.383669853210449,-3.80855655670166,-17.88623809814453,-14.533350944519043,-18.09355926513672,-14.25020980834961,-3.3528871536254883,-3.8433494567871094,-0.030782699584960938,-0.03479290008544922,-0.03278779983520508,False,False,
pair_0016,05,01,01,01,pair_0016_happy,pair_0016_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.692672729492188,-14.135289192199707,-18.536806106567383,-14.340117454528809,-4.5573835372924805,-4.196688652038574,-18.655540466308594,-14.120002746582031,-18.567398071289062,-14.34445571899414,-4.5355377197265625,-4.222942352294922,-0.02184581756591797,-0.026253700256347656,-0.024049758911132812,False,False,
pair_0017,05,01,02,01,pair_0017_happy,pair_0017_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],18,1,layer_18,pre_o_proj_decision_head,attention_head,-18.638935089111328,-14.255763053894043,-18.50379180908203,-13.944811820983887,-4.383172035217285,-4.5589799880981445,-18.631235122680664,-14.26889419555664,-18.51192283630371,-13.9319429397583,-4.362340927124023,-4.57997989654541,-0.02083110809326172,-0.020999908447265625,-0.020915508270263672,False,False,
