pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,experiment_type,schedule_id,initial_patch_layer,restore_layer,clamp_end_layer,schedule_entries,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.906497955322266,-40.61582565307617,-32.872337341308594,-40.52363204956055,7.709327697753906,7.651294708251953,-32.822654724121094,-40.63414764404297,-32.94609832763672,-40.518096923828125,7.811492919921875,7.571998596191406,-0.10216522216796875,-0.07929611206054688,-0.09073066711425781,False,False,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.807010650634766,-40.480464935302734,-32.87761688232422,-40.29866027832031,7.673454284667969,7.421043395996094,-32.794532775878906,-40.36445236206055,-32.89442825317383,-40.40266799926758,7.569919586181641,7.50823974609375,0.10353469848632812,0.08719635009765625,0.09536552429199219,True,True,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.14122772216797,-41.046043395996094,-33.19336700439453,-41.567901611328125,7.904815673828125,8.374534606933594,-33.14287567138672,-41.06946563720703,-33.189353942871094,-41.558021545410156,7.9265899658203125,8.368667602539062,-0.0217742919921875,-0.00586700439453125,-0.013820648193359375,False,False,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.26335525512695,-41.05799865722656,-33.390846252441406,-41.1466178894043,7.794643402099609,7.755771636962891,-33.26023483276367,-41.16908645629883,-33.39341735839844,-41.04175567626953,7.908851623535156,7.648338317871094,-0.11420822143554688,-0.10743331909179688,-0.11082077026367188,False,False,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.723960876464844,-40.329345703125,-33.00586700439453,-40.413299560546875,7.605384826660156,7.407432556152344,-32.686279296875,-40.277015686035156,-33.03597640991211,-40.47308349609375,7.590736389160156,7.437107086181641,0.0146484375,0.029674530029296875,0.022161483764648438,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.88285827636719,-40.35342788696289,-32.840545654296875,-40.420074462890625,7.470569610595703,7.57952880859375,-32.88915252685547,-40.193145751953125,-32.83015441894531,-40.57640838623047,7.303993225097656,7.746253967285156,0.16657638549804688,0.16672515869140625,0.16665077209472656,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.32653045654297,-40.607730865478516,-33.2708740234375,-40.77283477783203,7.281200408935547,7.501960754394531,-33.292869567871094,-40.5241584777832,-33.29977798461914,-40.839115142822266,7.231288909912109,7.539337158203125,0.0499114990234375,0.03737640380859375,0.043643951416015625,True,True,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.26520919799805,-40.81932067871094,-33.316802978515625,-41.32069396972656,7.554111480712891,8.003890991210938,-33.27690887451172,-40.729454040527344,-33.3065071105957,-41.3927001953125,7.452545166015625,8.086193084716797,0.10156631469726562,0.08230209350585938,0.0919342041015625,True,True,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-33.23826217651367,-40.160545349121094,-32.871337890625,-40.523345947265625,6.922283172607422,7.652008056640625,-33.23772048950195,-40.048683166503906,-32.848114013671875,-40.60746383666992,6.810962677001953,7.759349822998047,0.11132049560546875,0.10734176635742188,0.10933113098144531,True,True,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",audio_restore,audio_restore_at_20,17,20,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":20,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-32.83757019042969,-40.17271041870117,-32.902679443359375,-40.617942810058594,7.335140228271484,7.715263366699219,-32.808494567871094,-40.19926452636719,-32.92982482910156,-40.585716247558594,7.390769958496094,7.655891418457031,-0.055629730224609375,-0.0593719482421875,-0.05750083923339844,False,False,
