pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,token_position,layer_index,layer,patch_site,patch_kind,baseline_happy_happy_token_logprob,baseline_happy_sad_token_logprob,baseline_sad_happy_token_logprob,baseline_sad_sad_token_logprob,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_token_logprob,patched_happy_target_sad_token_logprob,patched_sad_target_happy_token_logprob,patched_sad_target_sad_token_logprob,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.23788070678711,-30.148117065429688,-19.178709030151367,-29.801849365234375,10.910236358642578,10.623140335083008,-19.231684,-29.871485,-19.184216,-30.109436,10.639801,10.9252205,0.2704353332519531,0.3020801544189453,0.2862577438354492,True,True,
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,decision_token,-13.668618202209473,-10.467707633972168,-13.693629264831543,-10.721782684326172,-3.2009105682373047,-2.971846580505371,-13.694257,-10.4524,-13.668716,-10.735692,-3.2418566,-2.9330244,0.040946006774902344,0.038822174072265625,0.039884090423583984,True,True,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.07402229309082,-30.0374813079834,-19.177860260009766,-29.757797241210938,10.963459014892578,10.579936981201172,-19.126377,-29.903913,-19.128336,-29.890108,10.777536,10.761772,0.18592262268066406,0.18183517456054688,0.18387889862060547,True,True,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,decision_token,-13.732987403869629,-10.442984580993652,-13.699758529663086,-10.540861129760742,-3.2900028228759766,-3.1588973999023438,-13.725258,-10.441806,-13.706484,-10.540834,-3.283452,-3.1656494,-0.006550788879394531,-0.00675201416015625,-0.006651401519775391,False,False,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.472591400146484,-31.136863708496094,-19.53383445739746,-31.518583297729492,11.66427230834961,11.984748840332031,-19.477407,-31.413088,-19.5277,-31.239368,11.93568,11.711668,-0.2714080810546875,-0.27308082580566406,-0.2722444534301758,False,False,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,decision_token,-13.668636322021484,-9.909178733825684,-13.659531593322754,-10.049318313598633,-3.759457588195801,-3.610213279724121,-13.671582,-9.907488,-13.657201,-10.052807,-3.7640944,-3.604394,0.0046367645263671875,0.0058193206787109375,0.0052280426025390625,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.66347885131836,-31.04317855834961,-19.652544021606445,-30.97833824157715,11.37969970703125,11.325794219970703,-19.575428,-30.911766,-19.737497,-31.160572,11.336338,11.423075,0.043361663818359375,0.09728050231933594,0.07032108306884766,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,decision_token,-13.599876403808594,-10.014822006225586,-13.738302230834961,-10.168279647827148,-3.585054397583008,-3.5700225830078125,-13.620007,-10.028843,-13.718292,-10.152487,-3.5911636,-3.5658054,0.0061092376708984375,0.0042171478271484375,0.0051631927490234375,True,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.12734031677246,-30.11060905456543,-19.325483322143555,-29.790307998657227,10.983268737792969,10.464824676513672,-19.287733,-30.061043,-19.147236,-29.887102,10.77331,10.739866,0.2099590301513672,0.2750415802001953,0.24250030517578125,True,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,decision_token,-13.596622467041016,-10.218738555908203,-13.680381774902344,-10.622989654541016,-3.3778839111328125,-3.057392120361328,-13.619775,-10.211287,-13.658194,-10.625611,-3.4084883,-3.0325823,0.03060436248779297,0.024809837341308594,0.02770709991455078,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.200847625732422,-29.897205352783203,-19.139528274536133,-29.813091278076172,10.696357727050781,10.673563003540039,-19.087337,-30.144903,-19.24012,-29.574627,11.057566,10.334507,-0.3612079620361328,-0.33905601501464844,-0.3501319885253906,False,False,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,decision_token,-13.682010650634766,-10.456222534179688,-13.701018333435059,-10.606983184814453,-3.225788116455078,-3.0940351486206055,-13.707056,-10.462944,-13.676003,-10.601013,-3.244112,-3.0749903,0.018323898315429688,0.019044876098632812,0.01868438720703125,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.627517700195312,-30.507896423339844,-19.62606430053711,-30.690168380737305,10.880378723144531,11.064104080200195,-19.624235,-30.708889,-19.62857,-30.470366,11.084654,10.841795,-0.20427513122558594,-0.22230911254882812,-0.21329212188720703,False,False,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",2,17,layer_17,post_decoder_block_output,decision_token,-13.699013710021973,-10.099833488464355,-13.644807815551758,-10.082664489746094,-3.599180221557617,-3.562143325805664,-13.7046795,-10.109871,-13.638386,-10.071863,-3.5948086,-3.5665226,-0.00437164306640625,-0.0043792724609375,-0.004375457763671875,False,False,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",1,17,layer_17,post_decoder_block_output,decision_token,-19.589366912841797,-30.643306732177734,-19.689207077026367,-31.20589256286621,11.053939819335938,11.516685485839844,-19.669094,-31.270874,-19.610569,-30.554472,11.60178,10.943903,-0.5478401184082031,-0.5727825164794922,-0.5603113174438477,False,False,
