pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,experiment_type,schedule_id,initial_patch_layer,restore_layer,clamp_end_layer,schedule_entries,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.784337997436523,-14.192665100097656,-18.59215545654297,-14.119668960571289,-4.591672897338867,-4.47248649597168,-18.755613327026367,-14.141263961791992,-18.628372192382812,-14.16263198852539,-4.614349365234375,-4.465740203857422,0.022676467895507812,0.0067462921142578125,0.014711380004882812,True,True,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.62534523010254,-13.82693862915039,-18.685665130615234,-13.871679306030273,-4.798406600952148,-4.813985824584961,-18.54081916809082,-13.739282608032227,-18.774641036987305,-13.958717346191406,-4.801536560058594,-4.815923690795898,0.0031299591064453125,-0.0019378662109375,0.0005960464477539062,True,False,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.101184844970703,-14.566595077514648,-18.250112533569336,-14.308186531066895,-3.5345897674560547,-3.9419260025024414,-18.11440658569336,-14.508009910583496,-18.244352340698242,-14.364697456359863,-3.6063966751098633,-3.879654884338379,0.0718069076538086,0.0622711181640625,0.06703901290893555,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.006914138793945,-14.501709938049316,-18.291980743408203,-14.688089370727539,-3.505204200744629,-3.603891372680664,-17.98759651184082,-14.520613670349121,-18.29871940612793,-14.657695770263672,-3.466982841491699,-3.641023635864258,-0.03822135925292969,-0.03713226318359375,-0.03767681121826172,False,False,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.301326751708984,-14.038238525390625,-18.725671768188477,-13.857430458068848,-4.263088226318359,-4.868241310119629,-18.250152587890625,-14.010544776916504,-18.787004470825195,-13.879077911376953,-4.239607810974121,-4.907926559448242,-0.02348041534423828,-0.03968524932861328,-0.03158283233642578,False,False,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.589427947998047,-14.114439964294434,-18.74413299560547,-14.046891212463379,-4.474987983703613,-4.69724178314209,-18.581737518310547,-14.093001365661621,-18.750747680664062,-14.056321144104004,-4.488736152648926,-4.694426536560059,0.0137481689453125,0.00281524658203125,0.008281707763671875,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-17.821413040161133,-14.312002182006836,-17.82419204711914,-14.049148559570312,-3.509410858154297,-3.775043487548828,-17.77532958984375,-14.288728713989258,-17.863481521606445,-14.06827163696289,-3.486600875854492,-3.7952098846435547,-0.022809982299804688,-0.020166397094726562,-0.021488189697265625,False,False,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-17.819889068603516,-14.41187572479248,-17.866769790649414,-14.385616302490234,-3.408013343811035,-3.4811534881591797,-17.773496627807617,-14.394137382507324,-17.907569885253906,-14.401501655578613,-3.379359245300293,-3.506068229675293,-0.028654098510742188,-0.02491474151611328,-0.026784420013427734,False,False,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.818166732788086,-14.119091033935547,-18.65387725830078,-14.069162368774414,-4.699075698852539,-4.584714889526367,-18.83588981628418,-14.12205982208252,-18.6302490234375,-14.06822395324707,-4.71382999420166,-4.56202507019043,0.014754295349121094,0.0226898193359375,0.018722057342529297,True,True,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_restore_at_18,17,18,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""},{""layer"":18,""patch_kind"":""audio_tokens"",""source"":""target""}]",post_decoder_block_output,audio_tokens,-18.729928970336914,-14.011101722717285,-18.5625,-14.185173034667969,-4.718827247619629,-4.377326965332031,-18.735904693603516,-13.998090744018555,-18.55458641052246,-14.200454711914062,-4.737813949584961,-4.354131698608398,0.01898670196533203,0.023195266723632812,0.021090984344482422,True,True,
