pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,layer_index,layer,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.784337997436523,-14.192665100097656,-18.59215545654297,-14.119668960571289,-4.591672897338867,-4.47248649597168,-18.75589942932129,-14.032888412475586,-18.633888244628906,-14.265663146972656,-4.723011016845703,-4.36822509765625,0.13133811950683594,0.10426139831542969,0.11779975891113281,True,True,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.62534523010254,-13.82693862915039,-18.685665130615234,-13.871679306030273,-4.798406600952148,-4.813985824584961,-18.59850311279297,-13.741735458374023,-18.72837257385254,-13.954306602478027,-4.856767654418945,-4.774065971374512,0.058361053466796875,0.03991985321044922,0.04914045333862305,True,True,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.101184844970703,-14.566595077514648,-18.250112533569336,-14.308186531066895,-3.5345897674560547,-3.9419260025024414,-18.20102310180664,-14.528854370117188,-18.15317726135254,-14.338617324829102,-3.672168731689453,-3.8145599365234375,0.13757896423339844,0.1273660659790039,0.13247251510620117,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.006914138793945,-14.501709938049316,-18.291980743408203,-14.688089370727539,-3.505204200744629,-3.603891372680664,-18.150188446044922,-14.532867431640625,-18.14378547668457,-14.671212196350098,-3.617321014404297,-3.4725732803344727,0.11211681365966797,0.1313180923461914,0.12171745300292969,True,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.301326751708984,-14.038238525390625,-18.725671768188477,-13.857430458068848,-4.263088226318359,-4.868241310119629,-18.298757553100586,-13.881199836730957,-18.72808837890625,-14.011162757873535,-4.417557716369629,-4.716925621032715,0.15446949005126953,0.15131568908691406,0.1528925895690918,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.589427947998047,-14.114439964294434,-18.74413299560547,-14.046891212463379,-4.474987983703613,-4.69724178314209,-18.650379180908203,-13.959366798400879,-18.673057556152344,-14.196391105651855,-4.691012382507324,-4.476666450500488,0.21602439880371094,0.22057533264160156,0.21829986572265625,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.821413040161133,-14.312002182006836,-17.82419204711914,-14.049148559570312,-3.509410858154297,-3.775043487548828,-17.761144638061523,-14.337868690490723,-17.879194259643555,-14.01635456085205,-3.423275947570801,-3.862839698791504,-0.0861349105834961,-0.08779621124267578,-0.08696556091308594,False,False,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.819889068603516,-14.41187572479248,-17.866769790649414,-14.385616302490234,-3.408013343811035,-3.4811534881591797,-17.69584083557129,-14.47043514251709,-17.981157302856445,-14.322092056274414,-3.225405693054199,-3.6590652465820312,-0.18260765075683594,-0.17791175842285156,-0.18025970458984375,False,False,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.818166732788086,-14.119091033935547,-18.65387725830078,-14.069162368774414,-4.699075698852539,-4.584714889526367,-18.758420944213867,-14.101263046264648,-18.702394485473633,-14.07611083984375,-4.657157897949219,-4.626283645629883,-0.04191780090332031,-0.041568756103515625,-0.04174327850341797,False,False,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.729928970336914,-14.011101722717285,-18.5625,-14.185173034667969,-4.718827247619629,-4.377326965332031,-18.65721321105957,-13.964044570922852,-18.63226890563965,-14.231562614440918,-4.693168640136719,-4.4007062911987305,-0.025658607482910156,-0.02337932586669922,-0.024518966674804688,False,False,
pair_0010,03,02,01,01,pair_0010_happy,pair_0010_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.31175994873047,-14.61680793762207,-17.840412139892578,-14.470471382141113,-3.6949520111083984,-3.369940757751465,-18.32447052001953,-14.626126289367676,-17.831993103027344,-14.463828086853027,-3.6983442306518555,-3.3681650161743164,0.0033922195434570312,0.0017757415771484375,0.0025839805603027344,True,True,
pair_0011,03,02,02,01,pair_0011_happy,pair_0011_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.231765747070312,-14.706853866577148,-17.838123321533203,-14.506670951843262,-3.524911880493164,-3.3314523696899414,-18.128570556640625,-14.647894859313965,-17.94618034362793,-14.571980476379395,-3.48067569732666,-3.374199867248535,-0.044236183166503906,-0.04274749755859375,-0.04349184036254883,False,False,
pair_0012,04,01,01,01,pair_0012_happy,pair_0012_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.358745574951172,-13.756012916564941,-18.717449188232422,-13.85068130493164,-4.6027326583862305,-4.866767883300781,-18.56679916381836,-13.615745544433594,-18.51878547668457,-14.002073287963867,-4.951053619384766,-4.516712188720703,0.34832096099853516,0.3500556945800781,0.34918832778930664,True,True,
pair_0013,04,01,02,01,pair_0013_happy,pair_0013_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.70948600769043,-14.139888763427734,-18.57384490966797,-13.96951675415039,-4.569597244262695,-4.604328155517578,-18.66301155090332,-14.05417251586914,-18.62664031982422,-14.063725471496582,-4.60883903503418,-4.562914848327637,0.039241790771484375,0.041413307189941406,0.04032754898071289,True,True,
pair_0014,04,02,01,01,pair_0014_happy,pair_0014_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.875215530395508,-14.271656036376953,-17.993194580078125,-14.42282485961914,-3.6035594940185547,-3.5703697204589844,-17.87201499938965,-14.255998611450195,-17.996429443359375,-14.428422927856445,-3.616016387939453,-3.5680065155029297,0.012456893920898438,0.0023632049560546875,0.0074100494384765625,True,True,
pair_0015,04,02,02,01,pair_0015_happy,pair_0015_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.90298080444336,-14.51931095123291,-18.07615089416504,-14.267594337463379,-3.383669853210449,-3.80855655670166,-18.063457489013672,-14.575976371765137,-17.901626586914062,-14.207535743713379,-3.487481117248535,-3.6940908432006836,0.10381126403808594,0.11446571350097656,0.10913848876953125,True,True,
pair_0016,05,01,01,01,pair_0016_happy,pair_0016_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.692672729492188,-14.135289192199707,-18.536806106567383,-14.340117454528809,-4.5573835372924805,-4.196688652038574,-18.751745223999023,-14.322535514831543,-18.443880081176758,-14.134444236755371,-4.4292097091674805,-4.309435844421387,-0.128173828125,-0.1127471923828125,-0.12046051025390625,False,False,
pair_0017,05,01,02,01,pair_0017_happy,pair_0017_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.638935089111328,-14.255763053894043,-18.50379180908203,-13.944811820983887,-4.383172035217285,-4.5589799880981445,-18.638450622558594,-14.132399559020996,-18.510372161865234,-14.05754566192627,-4.506051063537598,-4.452826499938965,0.1228790283203125,0.10615348815917969,0.1145162582397461,True,True,
pair_0018,05,02,01,01,pair_0018_happy,pair_0018_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.000730514526367,-14.714016914367676,-18.26675796508789,-14.785633087158203,-3.2867136001586914,-3.4811248779296875,-18.15530014038086,-14.92945384979248,-18.12106704711914,-14.583504676818848,-3.225846290588379,-3.537562370300293,-0.0608673095703125,-0.05643749237060547,-0.058652400970458984,False,False,
pair_0019,05,02,02,01,pair_0019_happy,pair_0019_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.202608108520508,-14.727049827575684,-17.76186752319336,-14.475021362304688,-3.475558280944824,-3.286846160888672,-18.025226593017578,-14.582590103149414,-17.93720817565918,-14.608953475952148,-3.442636489868164,-3.3282546997070312,-0.032921791076660156,-0.041408538818359375,-0.037165164947509766,False,False,
pair_0020,06,01,01,01,pair_0020_happy,pair_0020_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.270139694213867,-14.0554780960083,-18.622514724731445,-14.09838581085205,-4.214661598205566,-4.5241289138793945,-18.414548873901367,-14.02036190032959,-18.474882125854492,-14.130912780761719,-4.394186973571777,-4.343969345092773,0.17952537536621094,0.1801595687866211,0.17984247207641602,True,True,
pair_0021,06,01,02,01,pair_0021_happy,pair_0021_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.518516540527344,-14.262524604797363,-18.693706512451172,-14.079412460327148,-4.2559919357299805,-4.614294052124023,-18.53440284729004,-14.145896911621094,-18.69407081604004,-14.198806762695312,-4.388505935668945,-4.495264053344727,0.13251399993896484,0.11902999877929688,0.12577199935913086,True,True,
pair_0022,06,02,01,01,pair_0022_happy,pair_0022_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.048234939575195,-14.446083068847656,-18.00354766845703,-14.538506507873535,-3.602151870727539,-3.465041160583496,-18.217823028564453,-14.508763313293457,-17.821617126464844,-14.467519760131836,-3.709059715270996,-3.354097366333008,0.10690784454345703,0.11094379425048828,0.10892581939697266,True,True,
pair_0023,06,02,02,01,pair_0023_happy,pair_0023_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.950851440429688,-14.493545532226562,-18.027484893798828,-14.372323989868164,-3.457305908203125,-3.655160903930664,-18.0632381439209,-14.530879020690918,-17.918235778808594,-14.337878227233887,-3.5323591232299805,-3.580357551574707,0.07505321502685547,0.07480335235595703,0.07492828369140625,True,True,
pair_0024,07,01,01,01,pair_0024_happy,pair_0024_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.09006118774414,-13.70536994934082,-18.24040985107422,-14.0731840133667,-4.38469123840332,-4.1672258377075195,-18.102415084838867,-13.861517906188965,-18.21500015258789,-13.918299674987793,-4.240897178649902,-4.296700477600098,-0.14379405975341797,-0.12947463989257812,-0.13663434982299805,False,False,
pair_0025,07,01,02,01,pair_0025_happy,pair_0025_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.489057540893555,-13.88498592376709,-18.49165916442871,-13.795110702514648,-4.604071617126465,-4.6965484619140625,-18.545949935913086,-13.92000961303711,-18.43077850341797,-13.765021324157715,-4.625940322875977,-4.665757179260254,0.02186870574951172,0.030791282653808594,0.026329994201660156,True,True,
pair_0026,07,02,01,01,pair_0026_happy,pair_0026_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.1934757232666,-14.413429260253906,-18.108972549438477,-14.478107452392578,-3.7800464630126953,-3.6308650970458984,-18.07926368713379,-14.370295524597168,-18.219247817993164,-14.519583702087402,-3.708968162536621,-3.6996641159057617,-0.07107830047607422,-0.06879901885986328,-0.06993865966796875,False,False,
pair_0027,07,02,02,01,pair_0027_happy,pair_0027_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.1934757232666,-14.413429260253906,-17.917301177978516,-14.347782135009766,-3.7800464630126953,-3.56951904296875,-18.162425994873047,-14.434249877929688,-17.93910789489746,-14.328973770141602,-3.7281761169433594,-3.6101341247558594,-0.05187034606933594,-0.040615081787109375,-0.046242713928222656,False,False,
pair_0028,08,01,01,01,pair_0028_happy,pair_0028_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.895870208740234,-14.022705078125,-18.853595733642578,-13.817150115966797,-3.8731651306152344,-5.036445617675781,-18.13959312438965,-13.865462303161621,-18.634607315063477,-13.982498168945312,-4.274130821228027,-4.652109146118164,0.40096569061279297,0.3843364715576172,0.3926510810852051,True,True,
pair_0029,08,01,02,01,pair_0029_happy,pair_0029_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.307472229003906,-13.782498359680176,-17.66484260559082,-13.374154090881348,-4.5249738693237305,-4.290688514709473,-18.34995460510254,-13.692431449890137,-17.681339263916016,-13.439674377441406,-4.657523155212402,-4.241664886474609,0.13254928588867188,0.04902362823486328,0.09078645706176758,True,True,
pair_0030,08,02,01,01,pair_0030_happy,pair_0030_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.869657516479492,-13.974630355834961,-17.25248908996582,-14.594927787780762,-3.8950271606445312,-2.6575613021850586,-17.466644287109375,-14.255681991577148,-17.758182525634766,-14.300164222717285,-3.2109622955322266,-3.4580183029174805,-0.6840648651123047,-0.8004570007324219,-0.7422609329223633,False,False,
pair_0031,08,02,02,01,pair_0031_happy,pair_0031_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-17.836416244506836,-14.024099349975586,-18.205785751342773,-14.933714866638184,-3.81231689453125,-3.27207088470459,-18.20206642150879,-14.541820526123047,-17.74272346496582,-14.185293197631836,-3.660245895385742,-3.5574302673339844,-0.1520709991455078,-0.28535938262939453,-0.21871519088745117,False,False,
pair_0032,09,01,01,01,pair_0032_happy,pair_0032_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.71563148498535,-14.05175495147705,-18.32554054260254,-13.615287780761719,-4.663876533508301,-4.71025276184082,-18.611371994018555,-13.942024230957031,-18.40557861328125,-13.707232475280762,-4.669347763061523,-4.698346138000488,0.005471229553222656,0.011906623840332031,0.008688926696777344,True,True,
pair_0033,09,01,02,01,pair_0033_happy,pair_0033_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.97260284423828,-13.914822578430176,-17.69182014465332,-13.4166841506958,-5.0577802658081055,-4.2751359939575195,-18.761117935180664,-13.691110610961914,-17.80790138244629,-13.633859634399414,-5.07000732421875,-4.174041748046875,0.012227058410644531,0.10109424591064453,0.05666065216064453,True,True,
pair_0034,09,02,01,01,pair_0034_happy,pair_0034_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.46145248413086,-14.497332572937012,-18.005985260009766,-14.08935832977295,-3.9641199111938477,-3.9166269302368164,-18.229816436767578,-14.276479721069336,-18.20899772644043,-14.317529678344727,-3.953336715698242,-3.891468048095703,-0.010783195495605469,0.02515888214111328,0.007187843322753906,False,True,
pair_0035,09,02,02,01,pair_0035_happy,pair_0035_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,audio_tokens,-18.263702392578125,-14.721343994140625,-18.236169815063477,-13.951910018920898,-3.5423583984375,-4.284259796142578,-18.27265167236328,-14.334593772888184,-18.21415138244629,-14.323103904724121,-3.9380578994750977,-3.891047477722168,0.39569950103759766,0.39321231842041016,0.3944559097290039,True,True,
