pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,layer_index,layer,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.906497955322266,-40.61582565307617,-32.872337341308594,-40.52363204956055,7.709327697753906,7.651294708251953,-32.99254608154297,-40.7533073425293,-32.76618194580078,-40.34602355957031,7.760761260986328,7.579841613769531,-0.051433563232421875,-0.07145309448242188,-0.061443328857421875,False,False,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.807010650634766,-40.480464935302734,-32.87761688232422,-40.29866027832031,7.673454284667969,7.421043395996094,-32.8957633972168,-40.43172836303711,-32.7880859375,-40.335243225097656,7.5359649658203125,7.547157287597656,0.13748931884765625,0.1261138916015625,0.13180160522460938,True,True,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.14122772216797,-41.046043395996094,-33.19336700439453,-41.567901611328125,7.904815673828125,8.374534606933594,-33.28155517578125,-41.187618255615234,-33.05858612060547,-41.42449188232422,7.906063079833984,8.36590576171875,-0.001247406005859375,-0.00862884521484375,-0.0049381256103515625,False,False,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.26335525512695,-41.05799865722656,-33.390846252441406,-41.1466178894043,7.794643402099609,7.755771636962891,-33.434322357177734,-41.171199798583984,-33.20802688598633,-41.04646682739258,7.73687744140625,7.83843994140625,0.057765960693359375,0.08266830444335938,0.07021713256835938,True,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.723960876464844,-40.329345703125,-33.00586700439453,-40.413299560546875,7.605384826660156,7.407432556152344,-32.95552062988281,-40.22334671020508,-32.75336837768555,-40.57855224609375,7.267826080322266,7.825183868408203,0.3375587463378906,0.4177513122558594,0.377655029296875,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.88285827636719,-40.35342788696289,-32.840545654296875,-40.420074462890625,7.470569610595703,7.57952880859375,-32.90133285522461,-40.25188064575195,-32.81535339355469,-40.51569366455078,7.350547790527344,7.700340270996094,0.12002182006835938,0.12081146240234375,0.12041664123535156,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.32653045654297,-40.607730865478516,-33.2708740234375,-40.77283477783203,7.281200408935547,7.501960754394531,-33.417667388916016,-40.35729217529297,-33.165924072265625,-41.02717208862305,6.939624786376953,7.861248016357422,0.34157562255859375,0.3592872619628906,0.3504314422607422,True,True,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.26520919799805,-40.81932067871094,-33.316802978515625,-41.32069396972656,7.554111480712891,8.003890991210938,-33.30531311035156,-40.79644775390625,-33.27375411987305,-41.324459075927734,7.4911346435546875,8.050704956054688,0.06297683715820312,0.04681396484375,0.05489540100097656,True,True,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.23826217651367,-40.160545349121094,-32.871337890625,-40.523345947265625,6.922283172607422,7.652008056640625,-33.07240295410156,-40.42849349975586,-33.029762268066406,-40.29732131958008,7.356090545654297,7.267559051513672,-0.433807373046875,-0.3844490051269531,-0.40912818908691406,False,False,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.83757019042969,-40.17271041870117,-32.902679443359375,-40.617942810058594,7.335140228271484,7.715263366699219,-32.88142776489258,-40.55794906616211,-32.86106872558594,-40.23396682739258,7.676521301269531,7.372898101806641,-0.3413810729980469,-0.3423652648925781,-0.3418731689453125,False,False,
pair_0010,03,02,01,01,pair_0010_happy,pair_0010_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.3384895324707,-41.062469482421875,-33.22782516479492,-41.00354766845703,7.723979949951172,7.775722503662109,-33.268310546875,-40.90660858154297,-33.30885696411133,-41.1534538269043,7.638298034667969,7.844596862792969,0.08568191528320312,0.06887435913085938,0.07727813720703125,True,True,
pair_0011,03,02,02,01,pair_0011_happy,pair_0011_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.24159622192383,-41.173126220703125,-33.178077697753906,-41.440956115722656,7.931529998779297,8.26287841796875,-33.183349609375,-41.09438705444336,-33.27416229248047,-41.56217956542969,7.911037445068359,8.288017272949219,0.0204925537109375,0.02513885498046875,0.022815704345703125,True,True,
pair_0012,04,01,01,01,pair_0012_happy,pair_0012_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.72740936279297,-40.23261260986328,-32.91100311279297,-40.410213470458984,7.5052032470703125,7.499210357666016,-32.80946731567383,-40.1423454284668,-32.8058967590332,-40.54615783691406,7.332878112792969,7.740261077880859,0.17232513427734375,0.24105072021484375,0.20668792724609375,True,True,
pair_0013,04,01,02,01,pair_0013_happy,pair_0013_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.94976806640625,-40.15290832519531,-32.91361999511719,-40.468021392822266,7.2031402587890625,7.554401397705078,-32.779293060302734,-40.142826080322266,-33.07515335083008,-40.479454040527344,7.363533020019531,7.404300689697266,-0.16039276123046875,-0.1501007080078125,-0.15524673461914062,False,False,
pair_0014,04,02,01,01,pair_0014_happy,pair_0014_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.230369567871094,-40.49817657470703,-32.99338150024414,-40.90376281738281,7.2678070068359375,7.910381317138672,-33.196285247802734,-40.57495880126953,-33.050933837890625,-40.798805236816406,7.378673553466797,7.747871398925781,-0.11086654663085938,-0.16250991821289062,-0.136688232421875,False,False,
pair_0015,04,02,02,01,pair_0015_happy,pair_0015_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.334197998046875,-40.492889404296875,-33.412193298339844,-40.960044860839844,7.15869140625,7.5478515625,-33.459102630615234,-40.517547607421875,-33.27436065673828,-40.91358947753906,7.058444976806641,7.639228820800781,0.10024642944335938,0.09137725830078125,0.09581184387207031,True,True,
pair_0016,05,01,01,01,pair_0016_happy,pair_0016_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-32.893394470214844,-40.04497528076172,-32.97637939453125,-40.67535400390625,7.151580810546875,7.698974609375,-32.6799201965332,-40.51460266113281,-33.19717025756836,-40.28302001953125,7.834682464599609,7.085849761962891,-0.6831016540527344,-0.6131248474121094,-0.6481132507324219,False,False,
pair_0017,05,01,02,01,pair_0017_happy,pair_0017_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.059226989746094,-40.66766357421875,-32.76953887939453,-40.188873291015625,7.608436584472656,7.419334411621094,-33.10614776611328,-40.58702087402344,-32.73229217529297,-40.20328140258789,7.480873107910156,7.470989227294922,0.1275634765625,0.051654815673828125,0.08960914611816406,True,True,
pair_0018,05,02,01,01,pair_0018_happy,pair_0018_sad,upper_prompt__upper_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., HAPPY, SAD,"[86777, 56]","[328, 1808]",14,layer_14,post_decoder_block_output,audio_tokens,-33.31574630737305,-41.03467559814453,-33.078346252441406,-41.51261901855469,7.718929290771484,8.434272766113281,-33.22373962402344,-41.29667282104492,-33.17030334472656,-41.22553253173828,8.072933197021484,8.055229187011719,-0.35400390625,-0.3790435791015625,-0.36652374267578125,False,False,
