control,seed,pair_id,actor,statement,repetition,intensity,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,layer_index,layer,patch_site,happy_sample_id,sad_sample_id,happy_target_donor_sample_id,happy_target_donor_emotion,happy_target_donor_actor,happy_donor_same_emotion,happy_donor_same_actor,happy_donor_same_content,happy_donor_is_matched_counterpart,sad_target_donor_sample_id,sad_target_donor_emotion,sad_target_donor_actor,sad_donor_same_emotion,sad_donor_same_actor,sad_donor_same_content,sad_donor_is_matched_counterpart,baseline_happy_margin,baseline_sad_margin,patched_happy_target_margin,patched_sad_target_margin,happy_donor_aligned_effect,sad_donor_aligned_effect,counterfactual_effect,happy_direction,sad_direction,error
matched_swap,1234,pair_0000,01,01,01,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0000_happy,pair_0000_sad,pair_0000_sad,sad,01,False,True,True,True,pair_0000_happy,happy,01,False,True,True,True,-4.591672897338867,-4.47248649597168,-4.723011016845703,-4.36822509765625,0.13133811950683594,0.10426139831542969,0.11779975891113281,True,True,
matched_swap,1234,pair_0001,01,01,02,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0001_happy,pair_0001_sad,pair_0001_sad,sad,01,False,True,True,True,pair_0001_happy,happy,01,False,True,True,True,-4.798406600952148,-4.813985824584961,-4.856767654418945,-4.774065971374512,0.058361053466796875,0.03991985321044922,0.04914045333862305,True,True,
matched_swap,1234,pair_0002,01,02,01,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0002_happy,pair_0002_sad,pair_0002_sad,sad,01,False,True,True,True,pair_0002_happy,happy,01,False,True,True,True,-3.5345897674560547,-3.9419260025024414,-3.672168731689453,-3.8145599365234375,0.13757896423339844,0.1273660659790039,0.13247251510620117,True,True,
matched_swap,1234,pair_0003,01,02,02,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0003_happy,pair_0003_sad,pair_0003_sad,sad,01,False,True,True,True,pair_0003_happy,happy,01,False,True,True,True,-3.505204200744629,-3.603891372680664,-3.617321014404297,-3.4725732803344727,0.11211681365966797,0.1313180923461914,0.12171745300292969,True,True,
matched_swap,1234,pair_0004,02,01,01,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0004_happy,pair_0004_sad,pair_0004_sad,sad,02,False,True,True,True,pair_0004_happy,happy,02,False,True,True,True,-4.263088226318359,-4.868241310119629,-4.417557716369629,-4.716925621032715,0.15446949005126953,0.15131568908691406,0.1528925895690918,True,True,
matched_swap,1234,pair_0005,02,01,02,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0005_happy,pair_0005_sad,pair_0005_sad,sad,02,False,True,True,True,pair_0005_happy,happy,02,False,True,True,True,-4.474987983703613,-4.69724178314209,-4.691012382507324,-4.476666450500488,0.21602439880371094,0.22057533264160156,0.21829986572265625,True,True,
matched_swap,1234,pair_0006,02,02,01,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0006_happy,pair_0006_sad,pair_0006_sad,sad,02,False,True,True,True,pair_0006_happy,happy,02,False,True,True,True,-3.509410858154297,-3.775043487548828,-3.423275947570801,-3.862839698791504,-0.0861349105834961,-0.08779621124267578,-0.08696556091308594,False,False,
matched_swap,1234,pair_0007,02,02,02,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0007_happy,pair_0007_sad,pair_0007_sad,sad,02,False,True,True,True,pair_0007_happy,happy,02,False,True,True,True,-3.408013343811035,-3.4811534881591797,-3.225405693054199,-3.6590652465820312,-0.18260765075683594,-0.17791175842285156,-0.18025970458984375,False,False,
matched_swap,1234,pair_0008,03,01,01,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0008_happy,pair_0008_sad,pair_0008_sad,sad,03,False,True,True,True,pair_0008_happy,happy,03,False,True,True,True,-4.699075698852539,-4.584714889526367,-4.657157897949219,-4.626283645629883,-0.04191780090332031,-0.041568756103515625,-0.04174327850341797,False,False,
matched_swap,1234,pair_0009,03,01,02,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0009_happy,pair_0009_sad,pair_0009_sad,sad,03,False,True,True,True,pair_0009_happy,happy,03,False,True,True,True,-4.718827247619629,-4.377326965332031,-4.693168640136719,-4.4007062911987305,-0.025658607482910156,-0.02337932586669922,-0.024518966674804688,False,False,
matched_swap,1234,pair_0010,03,02,01,01,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],17,layer_17,post_decoder_block_output,pair_0010_happy,pair_0010_sad,pair_0010_sad,sad,03,False,True,True,True,pair_0010_happy,happy,03,False,True,True,True,-3.6949520111083984,-3.369940757751465,-3.6983442306518555,-3.3681650161743164,0.0033922195434570312,0.0017757415771484375,0.0025839805603027344,True,True,
