layer,regime,fold,condition,sample_id,actor,statement,emotion,score
18,statement,actor_None_statement_01,raw,pair_0000_happy,01,01,happy,-4.419987863285655
18,statement,actor_None_statement_01,raw,pair_0000_sad,01,01,sad,-9.156936777140306
18,statement,actor_None_statement_01,raw,pair_0001_happy,01,01,happy,-13.081288260805053
18,statement,actor_None_statement_01,raw,pair_0001_sad,01,01,sad,-3.822153279756918
18,statement,actor_None_statement_01,raw,pair_0004_happy,02,01,happy,-7.998199919238292
18,statement,actor_None_statement_01,raw,pair_0004_sad,02,01,sad,-8.39041179167205
18,statement,actor_None_statement_01,raw,pair_0005_happy,02,01,happy,-10.80159717243712
18,statement,actor_None_statement_01,raw,pair_0005_sad,02,01,sad,-4.050997064469215
18,statement,actor_None_statement_01,raw,pair_0008_happy,03,01,happy,-9.994922151953322
18,statement,actor_None_statement_01,raw,pair_0008_sad,03,01,sad,-9.802981193606662
18,statement,actor_None_statement_01,raw,pair_0009_happy,03,01,happy,-8.006070739044713
18,statement,actor_None_statement_01,raw,pair_0009_sad,03,01,sad,-5.87666784101377
18,statement,actor_None_statement_01,raw,pair_0012_happy,04,01,happy,-10.905525063115313
18,statement,actor_None_statement_01,raw,pair_0012_sad,04,01,sad,-10.311873703545398
18,statement,actor_None_statement_01,raw,pair_0013_happy,04,01,happy,-5.184870969137513
18,statement,actor_None_statement_01,raw,pair_0013_sad,04,01,sad,-8.150544675032052
18,statement,actor_None_statement_01,raw,pair_0016_happy,05,01,happy,-17.424022631440433
18,statement,actor_None_statement_01,raw,pair_0016_sad,05,01,sad,-17.36635668537518
18,statement,actor_None_statement_01,raw,pair_0017_happy,05,01,happy,-10.852090054291104
18,statement,actor_None_statement_01,raw,pair_0017_sad,05,01,sad,-12.93023812855225
18,statement,actor_None_statement_01,raw,pair_0020_happy,06,01,happy,-10.805104351414052
18,statement,actor_None_statement_01,raw,pair_0020_sad,06,01,sad,-14.607039502976628
18,statement,actor_None_statement_01,raw,pair_0021_happy,06,01,happy,-0.49207127983249777
18,statement,actor_None_statement_01,raw,pair_0021_sad,06,01,sad,-12.257696942046802
18,statement,actor_None_statement_01,raw,pair_0024_happy,07,01,happy,-8.068645316089675
18,statement,actor_None_statement_01,raw,pair_0024_sad,07,01,sad,-7.948110659456294
18,statement,actor_None_statement_01,raw,pair_0025_happy,07,01,happy,-6.296368438323924
18,statement,actor_None_statement_01,raw,pair_0025_sad,07,01,sad,-11.226860709939594
18,statement,actor_None_statement_01,raw,pair_0028_happy,08,01,happy,-14.282544344408599
18,statement,actor_None_statement_01,raw,pair_0028_sad,08,01,sad,-28.566000949200777
18,statement,actor_None_statement_01,raw,pair_0029_happy,08,01,happy,-9.488363180815508
18,statement,actor_None_statement_01,raw,pair_0029_sad,08,01,sad,-23.819526826266852
18,statement,actor_None_statement_01,raw,pair_0032_happy,09,01,happy,-5.994719208876745
18,statement,actor_None_statement_01,raw,pair_0032_sad,09,01,sad,-5.587475142452622
18,statement,actor_None_statement_01,raw,pair_0033_happy,09,01,happy,-10.085818879712292
18,statement,actor_None_statement_01,raw,pair_0033_sad,09,01,sad,-5.564468621715161
18,statement,actor_None_statement_01,raw,pair_0036_happy,10,01,happy,-13.081382558283943
18,statement,actor_None_statement_01,raw,pair_0036_sad,10,01,sad,-8.712349494331917
18,statement,actor_None_statement_01,raw,pair_0037_happy,10,01,happy,-5.933656515005556
