condition,pair_id,actor,statement,repetition,intensity,happy_output,sad_output,changed
max8,pair_0000,01,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0001,01,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0002,01,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0003,01,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0004,02,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0005,02,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0006,02,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0007,02,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0008,03,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0009,03,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0010,03,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0011,03,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0012,04,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0013,04,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0014,04,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0015,04,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0016,05,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0017,05,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0018,05,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0019,05,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0020,06,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0021,06,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0022,06,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0023,06,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0024,07,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0025,07,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0026,07,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0027,07,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0028,08,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0029,08,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0030,08,02,01,01,It's be the weather. Dogs be,It's be not be not be the,True
max8,pair_0031,08,02,02,01,It's be the weather. Dogs be,It's be the weather. Dogs be,False
max8,pair_0032,09,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0033,09,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0034,09,02,01,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0035,09,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0036,10,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0037,10,01,02,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0038,10,02,01,01,It's be the weather. Dogs be,It's be not be not be the,True
max8,pair_0039,10,02,02,01,It's be not be not be the,It's be not be not be the,False
max8,pair_0040,11,01,01,01,It's be the weather. It you,It's be the weather. It you,False
max8,pair_0041,11,01,02,01,It's be the weather. It you,It's be the weather. It you,False
