pair_id,actor,statement,repetition,intensity,happy_sample_id,sad_sample_id,condition_id,prompt,happy_verbalizer,sad_verbalizer,happy_token_ids,sad_token_ids,experiment_type,schedule_id,initial_patch_layer,restore_layer,clamp_end_layer,schedule_entries,patch_site,patch_kind,baseline_happy_happy_score,baseline_happy_sad_score,baseline_sad_happy_score,baseline_sad_sad_score,baseline_happy_margin,baseline_sad_margin,patched_happy_target_happy_score,patched_happy_target_sad_score,patched_sad_target_happy_score,patched_sad_target_sad_score,patched_happy_target_margin,patched_sad_target_margin,happy_effect_toward_sad,sad_effect_toward_happy,counterfactual_effect,happy_direction,sad_direction,error
pair_0000,01,01,01,01,pair_0000_happy,pair_0000_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.784337997436523,-14.192665100097656,-18.59215545654297,-14.119668960571289,-4.591672897338867,-4.47248649597168,-18.75589942932129,-14.032888412475586,-18.633888244628906,-14.265663146972656,-4.723011016845703,-4.36822509765625,0.13133811950683594,0.10426139831542969,0.11779975891113281,True,True,
pair_0001,01,01,02,01,pair_0001_happy,pair_0001_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.62534523010254,-13.82693862915039,-18.685665130615234,-13.871679306030273,-4.798406600952148,-4.813985824584961,-18.59850311279297,-13.741735458374023,-18.72837257385254,-13.954306602478027,-4.856767654418945,-4.774065971374512,0.058361053466796875,0.03991985321044922,0.04914045333862305,True,True,
pair_0002,01,02,01,01,pair_0002_happy,pair_0002_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.101184844970703,-14.566595077514648,-18.250112533569336,-14.308186531066895,-3.5345897674560547,-3.9419260025024414,-18.20102310180664,-14.528854370117188,-18.15317726135254,-14.338617324829102,-3.672168731689453,-3.8145599365234375,0.13757896423339844,0.1273660659790039,0.13247251510620117,True,True,
pair_0003,01,02,02,01,pair_0003_happy,pair_0003_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.006914138793945,-14.501709938049316,-18.291980743408203,-14.688089370727539,-3.505204200744629,-3.603891372680664,-18.150188446044922,-14.532867431640625,-18.14378547668457,-14.671212196350098,-3.617321014404297,-3.4725732803344727,0.11211681365966797,0.1313180923461914,0.12171745300292969,True,True,
pair_0004,02,01,01,01,pair_0004_happy,pair_0004_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.301326751708984,-14.038238525390625,-18.725671768188477,-13.857430458068848,-4.263088226318359,-4.868241310119629,-18.298757553100586,-13.881199836730957,-18.72808837890625,-14.011162757873535,-4.417557716369629,-4.716925621032715,0.15446949005126953,0.15131568908691406,0.1528925895690918,True,True,
pair_0005,02,01,02,01,pair_0005_happy,pair_0005_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.589427947998047,-14.114439964294434,-18.74413299560547,-14.046891212463379,-4.474987983703613,-4.69724178314209,-18.650379180908203,-13.959366798400879,-18.673057556152344,-14.196391105651855,-4.691012382507324,-4.476666450500488,0.21602439880371094,0.22057533264160156,0.21829986572265625,True,True,
pair_0006,02,02,01,01,pair_0006_happy,pair_0006_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-17.821413040161133,-14.312002182006836,-17.82419204711914,-14.049148559570312,-3.509410858154297,-3.775043487548828,-17.761144638061523,-14.337868690490723,-17.879194259643555,-14.01635456085205,-3.423275947570801,-3.862839698791504,-0.0861349105834961,-0.08779621124267578,-0.08696556091308594,False,False,
pair_0007,02,02,02,01,pair_0007_happy,pair_0007_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-17.819889068603516,-14.41187572479248,-17.866769790649414,-14.385616302490234,-3.408013343811035,-3.4811534881591797,-17.69584083557129,-14.47043514251709,-17.981157302856445,-14.322092056274414,-3.225405693054199,-3.6590652465820312,-0.18260765075683594,-0.17791175842285156,-0.18025970458984375,False,False,
pair_0008,03,01,01,01,pair_0008_happy,pair_0008_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.818166732788086,-14.119091033935547,-18.65387725830078,-14.069162368774414,-4.699075698852539,-4.584714889526367,-18.758420944213867,-14.101263046264648,-18.702394485473633,-14.07611083984375,-4.657157897949219,-4.626283645629883,-0.04191780090332031,-0.041568756103515625,-0.04174327850341797,False,False,
pair_0009,03,01,02,01,pair_0009_happy,pair_0009_sad,upper_prompt__lower_spaced,Listen to the speech. Is the speaker HAPPY or SAD? Answer only HAPPY or SAD., happy, sad,[6247],[12421],audio_restore,audio_no_restore,17,,,"[{""layer"":17,""patch_kind"":""audio_tokens"",""source"":""donor""}]",post_decoder_block_output,audio_tokens,-18.729928970336914,-14.011101722717285,-18.5625,-14.185173034667969,-4.718827247619629,-4.377326965332031,-18.65721321105957,-13.964044570922852,-18.63226890563965,-14.231562614440918,-4.693168640136719,-4.4007062911987305,-0.025658607482910156,-0.02337932586669922,-0.024518966674804688,False,False,
